group_id,C0,C1,C2,seed,c1_minus_c0,c2_minus_c1
01::004100626726,1.0,1.0,1.0,3407,0.0,0.0
01::004101286725,1.0,1.0,1.0,3407,0.0,0.0
01::004105516731,1.0,1.0,1.0,3407,0.0,0.0
01::004106226731,1.0,1.0,1.0,3407,0.0,0.0
01::004116306748,1.0,1.0,1.0,3407,0.0,0.0
01::004116876748,1.0,1.0,1.0,3407,0.0,0.0
01::004121576751,1.0,1.0,1.0,3407,0.0,0.0
01::004121616751,1.0,1.0,1.0,3407,0.0,0.0
01::004121796751,1.0,1.0,1.0,3407,0.0,0.0
01::004122016751,1.0,1.0,1.0,3407,0.0,0.0
01::004126006756,1.0,1.0,1.0,3407,0.0,0.0
01::004126126756,1.0,1.0,1.0,3407,0.0,0.0
01::004126176756,1.0,1.0,1.0,3407,0.0,0.0
01::004126256756,1.0,1.0,1.0,3407,0.0,0.0
01::004126676756,1.0,1.0,1.0,3407,0.0,0.0
01::004126956756,1.0,1.0,1.0,3407,0.0,0.0
01::004127196756,1.0,1.0,1.0,3407,0.0,0.0
01::004127356756,1.0,1.0,1.0,3407,0.0,0.0
01::004133526771,1.0,1.0,1.0,3407,0.0,0.0
01::004133606772,1.0,1.0,1.0,3407,0.0,0.0
01::004133846771,1.0,1.0,1.0,3407,0.0,0.0
01::004133876771,1.0,1.0,1.0,3407,0.0,0.0
01::004133936771,1.0,1.0,1.0,3407,0.0,0.0
01::004134116771,1.0,1.0,1.0,3407,0.0,0.0
