fold,seed,donor_species,recipient_species,n,f0_correct,cxt_correct,delta_correct
2,3407,6,9,12,0.5833333333333334,0.8333333333333334,0.25
2,3407,6,10,16,1.0,0.9375,-0.0625
2,3407,6,11,12,0.9166666666666666,1.0,0.08333333333333333
2,3407,6,14,1,1.0,1.0,0.0
2,3407,6,15,2,1.0,1.0,0.0
2,3407,7,0,92,0.7608695652173914,0.7934782608695652,0.03260869565217391
2,3407,7,1,1,0.0,1.0,1.0
2,3407,7,3,2,0.0,0.0,0.0
2,3407,7,7,3,0.0,0.3333333333333333,0.3333333333333333
2,3407,7,8,4,1.0,1.0,0.0
2,3407,7,9,13,1.0,1.0,0.0
2,3407,7,10,14,0.35714285714285715,0.9285714285714286,0.5714285714285714
2,3407,7,11,8,0.5,0.875,0.375
2,3407,7,12,2,1.0,1.0,0.0
2,3407,7,14,1,1.0,1.0,0.0
2,3407,7,15,2,1.0,1.0,0.0
2,3407,8,0,53,0.9056603773584906,0.8679245283018868,-0.03773584905660377
2,3407,8,3,2,0.5,1.0,0.5
2,3407,8,7,1,0.0,0.0,0.0
2,3407,8,8,6,0.8333333333333334,1.0,0.16666666666666666
2,3407,8,9,13,0.9230769230769231,0.8461538461538461,-0.07692307692307693
2,3407,8,10,9,0.7777777777777778,0.8888888888888888,0.1111111111111111
2,3407,8,11,8,0.75,1.0,0.25
2,3407,8,13,1,0.0,0.0,0.0
2,3407,8,15,1,1.0,1.0,0.0
2,3407,9,0,52,0.8653846153846154,0.9423076923076923,0.07692307692307693
2,3407,9,1,2,0.0,1.0,1.0
2,3407,9,3,1,0.0,0.0,0.0
2,3407,9,4,1,1.0,1.0,0.0
2,3407,9,7,1,0.0,0.0,0.0
2,3407,9,8,9,0.8888888888888888,1.0,0.1111111111111111
2,3407,9,9,8,1.0,1.0,0.0
2,3407,9,10,7,0.8571428571428571,1.0,0.14285714285714285
2,3407,9,11,7,1.0,1.0,0.0
2,3407,9,12,1,1.0,1.0,0.0
2,3407,9,14,1,0.0,0.0,0.0
2,2026,1,1,68,0.014705882352941176,0.14705882352941177,0.1323529411764706
2,2026,1,2,14,0.6428571428571429,0.6428571428571429,0.0
2,2026,1,3,20,0.65,0.6,-0.05
2,2026,1,4,39,0.8461538461538461,0.8205128205128205,-0.02564102564102564
